                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8313,                0.90868,                 7.9498,                      0,                      0,                      0,                      0,                  2.944,                 2.3337,                  6.261,                      0,                      0,                      0
                      2,                 2.8186,                0.74511,                 4.6736,                      0,                      0,                      0,                      0,                 2.8895,                 2.3683,                 6.4089,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 2.8536,                 1.2268,                 4.1665,                      0,                      0,                      0,                      0,                 2.8906,                 2.3585,                 6.4094,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 2.6001,                 1.4091,                  7.378,                      0,                      0,                      0,                      0,                 2.8354,                  2.343,                 6.4873,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 2.6263,                 2.6223,                 2.4428,                      0,                      0,                      0,                      0,                  2.866,                 2.3436,                 6.5103,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 2.5236,                0.87937,                  3.195,                      0,                      0,                      0,                      0,                 2.8558,                  1.522,                 6.1559,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                  2.577,                 1.0369,                  9.146,                0.02948,                 0.0125,                0.01076,                0.00861,                 2.8016,                  1.059,                 5.1318,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 2.9327,                0.63709,                 8.7654,                0.02948,                 0.0125,                0.01076,                0.00861,                 2.7347,                0.87008,                 3.9275,              0.0001086,              0.0001086,              0.0001086
                      9,                 2.5581,                0.42451,                 5.7379,                0.09389,                0.06012,                0.03342,                 0.0232,                 2.5139,                0.75604,                 4.0165,              0.0001228,              0.0001228,              0.0001228
                     10,                 2.7381,                0.42253,                 6.3592,                0.06964,                  0.025,                0.01792,                0.01613,                 2.0928,                0.80935,                 4.4164,             0.00013666,             0.00013666,             0.00013666
                     11,                 3.0044,                0.61347,                 3.5372,                0.08432,                  0.025,                0.01792,                0.01612,                 2.0913,                0.79614,                 4.5608,              0.0001502,              0.0001502,              0.0001502
                     12,                 2.3461,                0.46031,                 4.7964,                0.15089,                 0.0375,                0.02858,                0.02485,                 1.9432,                0.71391,                 4.9303,              0.0001634,              0.0001634,              0.0001634
                     13,                 2.5044,                0.26398,                 5.2276,                0.08356,                   0.05,                0.01823,                0.01031,                 2.0912,                0.57739,                 4.6594,             0.00017628,             0.00017628,             0.00017628
                     14,                 2.1276,                0.36642,                 6.6039,                0.06262,                 0.0625,                0.01551,                0.00697,                 2.0818,                0.50918,                 4.6342,             0.00018882,             0.00018882,             0.00018882
                     15,                  2.238,                0.17082,                 7.8121,                0.07034,                 0.0625,                0.03188,                0.01698,                 2.4534,                 0.3923,                  3.758,             0.00020103,             0.00020103,             0.00020103
                     16,                 2.5125,                0.23353,                 4.9536,                0.07637,                 0.0625,                0.01597,                0.00558,                 2.7988,                0.29301,                 3.2569,             0.00021292,             0.00021292,             0.00021292
                     17,                  2.826,                0.22925,                 2.2934,                0.07356,                   0.05,                0.01549,                0.00871,                    2.8,                0.24924,                 3.5144,             0.00022447,             0.00022447,             0.00022447
                     18,                 2.5322,                0.10539,                 7.0971,                0.07356,                   0.05,                0.01549,                0.00871,                    2.8,                0.24924,                 3.5144,              0.0002357,              0.0002357,              0.0002357
                     19,                 2.0024,                0.46372,                   1.94,                0.07748,                   0.05,                0.01838,                 0.0129,                 2.9077,                0.23806,                 2.4952,             0.00024659,             0.00024659,             0.00024659
                     20,                 2.4238,                 0.1806,                 3.4299,                0.07748,                   0.05,                0.01838,                 0.0129,                 2.9077,                0.23806,                 2.4952,             0.00025715,             0.00025715,             0.00025715
                     21,                 2.2214,                0.20216,                 5.8192,                 0.1933,                0.16169,                0.10769,                0.06388,                 2.5295,                0.30211,                 2.0943,             0.00026739,             0.00026739,             0.00026739
                     22,                 2.1757,                0.20763,                 4.3426,                 0.1933,                0.16169,                0.10769,                0.06388,                 2.5295,                0.30211,                 2.0943,             0.00027729,             0.00027729,             0.00027729
                     23,                 2.1014,                0.30142,                 1.7456,                0.26158,                0.18512,                0.10572,                 0.0675,                 2.2951,                0.33863,                 1.5768,             0.00028686,             0.00028686,             0.00028686
                     24,                 1.6644,                0.35961,                0.99424,                0.26158,                0.18512,                0.10572,                 0.0675,                 2.2951,                0.33863,                 1.5768,             0.00029611,             0.00029611,             0.00029611
                     25,                 2.1103,                0.26334,                   1.16,                0.19056,                0.13631,                0.10435,                0.05877,                 2.3591,                0.29385,                 1.4677,             0.00030502,             0.00030502,             0.00030502
                     26,                 1.7193,                0.39036,                 1.2091,                0.19056,                0.13631,                0.10435,                0.05877,                 2.3591,                0.29385,                 1.4677,              0.0003136,              0.0003136,              0.0003136
                     27,                  2.457,                0.22324,                 1.4057,                0.37413,                0.24405,                0.18823,                0.12479,                 2.0517,                0.34041,                 1.2372,             0.00032186,             0.00032186,             0.00032186
                     28,                 1.5716,                0.38853,                0.90542,                0.37413,                0.24405,                0.18823,                0.12479,                 2.0517,                0.34041,                 1.2372,             0.00032978,             0.00032978,             0.00032978
                     29,                 1.7089,                 0.4083,                0.87406,                0.43321,                0.24405,                0.22564,                0.14643,                 1.8752,                0.34477,                 1.1407,             0.00033737,             0.00033737,             0.00033737
                     30,                 2.3982,                0.12785,                 2.0893,                0.43321,                0.24405,                0.22564,                0.14643,                 1.8752,                0.34477,                 1.1407,             0.00034464,             0.00034464,             0.00034464
                     31,                 1.9603,                 0.2072,                 2.4884,                0.38694,                0.26786,                0.24491,                0.14843,                 1.5414,                0.39893,                0.92062,             0.00035157,             0.00035157,             0.00035157
